symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZYME,Zymeworks Inc.,NMS,,,,24.04,,,,,,,
ZWS,Zurn Elkay Water Solutions Corp,NYQ,,,,47.37,,,,,,,
ZVRA,"Zevra Therapeutics, Inc.",NMS,,,,10.61,,,,,,,
ZTS,Zoetis Inc.,NYQ,,,,79.44,,,,,,,
ZTO,ZTO Express (Cayman) Inc.,NYQ,,,,22.28,,,,,,,
ZS,"Zscaler, Inc.",NMS,,,,130.78,,,,,,,
ZM,"Zoom Communications, Inc.",NMS,,,,101.62,,,,,,,
ZKH,ZKH Group Limited,NYQ,,,,2.83,,,,,,,
ZION,Zions Bancorporation N.A.,NMS,,,,63.23,,,,,,,
ZIM,ZIM Integrated Shipping Service,NYQ,,,,25.24,,,,,,,
ZGN,Ermenegildo Zegna N.V.,NYQ,,,,14.65,,,,,,,
ZG,"Zillow Group, Inc.",NMS,,,,35.39,,,,,,,
ZETA,Zeta Global Holdings Corp.,NYQ,,,,22.02,,,,,,,
ZD,"Ziff Davis, Inc.",NMS,,,,45.81,,,,,,,
ZBRA,Zebra Technologies Corporation,NMS,,,,232.11,,,,,,,
ZBIO,"Zenas BioPharma, Inc.",NMS,,,,17.47,,,,,,,
ZBH,"Zimmer Biomet Holdings, Inc.",NYQ,,,,87.33,,,,,,,
Z,"Zillow Group, Inc.",NMS,,,,35.06,,,,,,,
YUMC,"Yum China Holdings, Inc.",NYQ,,,,42.88,,,,,,,
YUM,"Yum! Brands, Inc.",NYQ,,,,150.87,,,,,,,
YSWY,"Yesway, Inc.",NMS,,,,22.18,,,,,,,
YSS,York Space Systems Inc.,NYQ,,,,29.14,,,,,,,
YPF,YPF Sociedad Anonima,NYQ,,,,53.5,,,,,,,
YOU,"Clear Secure, Inc.",NYQ,,,,54.52,,,,,,,
YORW,The York Water Company,NMS,,,,30.28,,,,,,,
YMM,Full Truck Alliance Co. Ltd.,NYQ,,,,8.59,,,,,,,
YEXT,"Yext, Inc.",NYQ,,,,3.89,,,,,,,
YETI,"YETI Holdings, Inc.",NYQ,,,,47.37,,,,,,,
YELP,Yelp Inc.,NYQ,,,,23.25,,,,,,,
YALA,Yalla Group Limited,NYQ,,,,5.29,,,,,,,
XZO,"Exzeo Group, Inc.",NYQ,,,,13.22,,,,,,,
XYZ,"Block, Inc.",NYQ,,,,68.15,,,,,,,
XYL,Xylem Inc.,NYQ,,,,109.94,,,,,,,
XXI,"Twenty One Capital, Inc.",NYQ,,,,5.64,,,,,,,
XRX,Xerox Holdings Corporation,NMS,,,,3.32,,,,,,,
XRN,Chiron Real Estate Inc.,NYQ,,,,35.9,,,,,,,
XRAY,DENTSPLY SIRONA Inc.,NMS,,,,10.0,,,,,,,
XPRO,Expro Group Holdings N.V.,NYQ,,,,15.38,,,,,,,
XPO,"XPO, Inc.",NYQ,,,,218.94,,,,,,,
XPEV,XPeng Inc.,NYQ,,,,15.95,,,,,,,
XPER,Xperi Inc.,NYQ,,,,7.42,,,,,,,
XP,XP Inc.,NMS,,,,15.34,,,,,,,
XOM,Exxon Mobil Corporation,NYQ,,,,149.92,,,,,,,
XMTR,"Xometry, Inc.",NMS,,,,80.66,,,,,,,
XIFR,"XPLR Infrastructure, LP",NYQ,,,,11.62,,,,,,,
XHR,"Xenia Hotels & Resorts, Inc.",NYQ,,,,18.39,,,,,,,
XERS,"Xeris Biopharma Holdings, Inc.",NMS,,,,6.18,,,,,,,
XEL,Xcel Energy Inc.,NMS,,,,79.04,,,,,,,
XE,"X-Energy, Inc.",NMS,,,,21.42,,,,,,,
WYNN,"Wynn Resorts, Limited",NMS,,,,104.48,,,,,,,
WY,Weyerhaeuser Company,NYQ,,,,24.48,,,,,,,
WWW,"Wolverine World Wide, Inc.",NYQ,,,,15.9,,,,,,,
WWD,"Woodward, Inc.",NMS,,,,357.74,,,,,,,
WU,Western Union Company (The),NYQ,,,,7.48,,,,,,,
WTW,Willis Towers Watson Public Lim,NMS,,,,263.54,,,,,,,
WTTR,"Select Water Solutions, Inc.",NYQ,,,,18.01,,,,,,,
WTS,"Watts Water Technologies, Inc.",NYQ,,,,314.21,,,,,,,
WTRG,"Essential Utilities, Inc.",NYQ,,,,37.36,,,,,,,
WTI,"W&T Offshore, Inc.",NYQ,,,,3.7,,,,,,,
WTFC,Wintrust Financial Corporation,NMS,,,,152.9,,,,,,,
WT,"WisdomTree, Inc.",NYQ,,,,18.18,,,,,,,
WST,"West Pharmaceutical Services, I",NYQ,,,,314.5,,,,,,,
WSR,Whitestone REIT,NYQ,,,,19.06,,,,,,,
WSO,"Watsco, Inc.",NYQ,,,,371.38,,,,,,,
WSM,"Williams-Sonoma, Inc.",NYQ,,,,204.98,,,,,,,
WSFS,WSFS Financial Corporation,NMS,,,,71.77,,,,,,,
WSE,Wise Group plc,NMS,,,,11.19,,,,,,,
